frame,date,site,crow_all,crow_feed,proportion,Sample_Point,food_amount,distance
1,20210210,Food101,0,0,NA,101,0,40
2,20210210,Food101,0,0,NA,101,0,40
3,20210210,Food101,0,0,NA,101,0,40
4,20210210,Food101,0,0,NA,101,0,40
5,20210210,Food101,0,0,NA,101,0,40
6,20210210,Food101,0,0,NA,101,0,40
7,20210210,Food101,0,0,NA,101,0,40
8,20210210,Food101,0,0,NA,101,0,40
9,20210210,Food101,0,0,NA,101,0,40
10,20210210,Food101,0,0,NA,101,0,40
11,20210210,Food101,0,0,NA,101,0,40
12,20210210,Food101,0,0,NA,101,0,40
13,20210210,Food101,0,0,NA,101,0,40
14,20210210,Food101,0,0,NA,101,0,40
15,20210210,Food101,0,0,NA,101,0,40
16,20210210,Food101,0,0,NA,101,0,40
17,20210210,Food101,0,0,NA,101,0,40
18,20210210,Food101,0,0,NA,101,0,40
19,20210210,Food101,0,0,NA,101,0,40
20,20210210,Food101,0,0,NA,101,0,40
21,20210210,Food101,0,0,NA,101,0,40
22,20210210,Food101,0,0,NA,101,0,40
23,20210210,Food101,0,0,NA,101,0,40
24,20210210,Food101,0,0,NA,101,0,40
25,20210210,Food101,0,0,NA,101,0,40
26,20210210,Food101,0,0,NA,101,0,40
27,20210210,Food101,0,0,NA,101,0,40
28,20210210,Food101,0,0,NA,101,0,40
29,20210210,Food101,0,0,NA,101,0,40
30,20210210,Food101,0,0,NA,101,0,40
31,20210210,Food101,0,0,NA,101,0,40
32,20210210,Food101,0,0,NA,101,0,40
33,20210210,Food101,0,0,NA,101,0,40
34,20210210,Food101,0,0,NA,101,0,40
35,20210210,Food101,0,0,NA,101,0,40
36,20210210,Food101,0,0,NA,101,0,40
37,20210210,Food101,0,0,NA,101,0,40
38,20210210,Food101,0,0,NA,101,0,40
39,20210210,Food101,0,0,NA,101,0,40
40,20210210,Food101,0,0,NA,101,0,40
1,20210210,Food102,0,0,NA,102,6,80
2,20210210,Food102,0,0,NA,102,6,80
3,20210210,Food102,0,0,NA,102,6,80
4,20210210,Food102,0,0,NA,102,6,80
5,20210210,Food102,0,0,NA,102,6,80
6,20210210,Food102,0,0,NA,102,6,80
7,20210210,Food102,0,0,NA,102,6,80
8,20210210,Food102,0,0,NA,102,6,80
9,20210210,Food102,0,0,NA,102,6,80
10,20210210,Food102,0,0,NA,102,6,80
11,20210210,Food102,0,0,NA,102,6,80
12,20210210,Food102,0,0,NA,102,6,80
13,20210210,Food102,0,0,NA,102,6,80
14,20210210,Food102,0,0,NA,102,6,80
15,20210210,Food102,0,0,NA,102,6,80
16,20210210,Food102,0,0,NA,102,6,80
17,20210210,Food102,0,0,NA,102,6,80
18,20210210,Food102,0,0,NA,102,6,80
19,20210210,Food102,1,0,0,102,6,80
20,20210210,Food102,1,0,0,102,6,80
21,20210210,Food102,5,2,0.4,102,6,80
22,20210210,Food102,3,0,0,102,6,80
23,20210210,Food102,3,0,0,102,6,80
24,20210210,Food102,1,0,0,102,6,80
25,20210210,Food102,5,1,0.2,102,6,80
26,20210210,Food102,4,1,0.25,102,6,80
27,20210210,Food102,6,4,0.6666666666666666,102,6,80
28,20210210,Food102,0,0,NA,102,6,80
29,20210210,Food102,6,3,0.5,102,6,80
30,20210210,Food102,4,2,0.5,102,6,80
31,20210210,Food102,4,2,0.5,102,6,80
32,20210210,Food102,3,1,0.3333333333333333,102,6,80
33,20210210,Food102,3,1,0.3333333333333333,102,6,80
34,20210210,Food102,1,0,0,102,6,80
35,20210210,Food102,1,1,1,102,6,80
36,20210210,Food102,4,2,0.5,102,6,80
37,20210210,Food102,5,1,0.2,102,6,80
38,20210210,Food102,0,0,NA,102,6,80
39,20210210,Food102,0,0,NA,102,6,80
40,20210210,Food102,0,0,NA,102,6,80
1,20210210,Food104,3,0,0,104,36,120
2,20210210,Food104,5,2,0.4,104,36,120
3,20210210,Food104,0,0,NA,104,36,120
4,20210210,Food104,0,0,NA,104,36,120
5,20210210,Food104,5,3,0.6,104,36,120
6,20210210,Food104,7,3,0.42857142857142855,104,36,120
7,20210210,Food104,0,0,NA,104,36,120
8,20210210,Food104,7,2,0.2857142857142857,104,36,120
9,20210210,Food104,8,3,0.375,104,36,120
10,20210210,Food104,8,2,0.25,104,36,120
11,20210210,Food104,8,1,0.125,104,36,120
12,20210210,Food104,7,2,0.2857142857142857,104,36,120
13,20210210,Food104,9,0,0,104,36,120
14,20210210,Food104,14,2,0.14285714285714285,104,36,120
15,20210210,Food104,11,1,0.09090909090909091,104,36,120
16,20210210,Food104,8,1,0.125,104,36,120
17,20210210,Food104,11,1,0.09090909090909091,104,36,120
18,20210210,Food104,0,0,NA,104,36,120
19,20210210,Food104,0,0,NA,104,36,120
20,20210210,Food104,0,0,NA,104,36,120
21,20210210,Food104,15,4,0.26666666666666666,104,36,120
22,20210210,Food104,13,5,0.38461538461538464,104,36,120
23,20210210,Food104,15,5,0.3333333333333333,104,36,120
24,20210210,Food104,20,7,0.35,104,36,120
25,20210210,Food104,16,5,0.3125,104,36,120
26,20210210,Food104,0,0,NA,104,36,120
27,20210210,Food104,0,0,NA,104,36,120
28,20210210,Food104,0,0,NA,104,36,120
29,20210210,Food104,0,0,NA,104,36,120
30,20210210,Food104,10,7,0.7,104,36,120
31,20210210,Food104,0,0,NA,104,36,120
32,20210210,Food104,0,0,NA,104,36,120
33,20210210,Food104,0,0,NA,104,36,120
34,20210210,Food104,0,0,NA,104,36,120
35,20210210,Food104,0,0,NA,104,36,120
36,20210210,Food104,0,0,NA,104,36,120
37,20210210,Food104,0,0,NA,104,36,120
38,20210210,Food104,0,0,NA,104,36,120
39,20210210,Food104,13,5,0.38461538461538464,104,36,120
40,20210210,Food104,14,4,0.2857142857142857,104,36,120
1,20210210,Food106,32,5,0.15625,106,18,160
2,20210210,Food106,21,7,0.3333333333333333,106,18,160
3,20210210,Food106,0,0,NA,106,18,160
4,20210210,Food106,0,0,NA,106,18,160
5,20210210,Food106,42,5,0.11904761904761904,106,18,160
6,20210210,Food106,0,0,NA,106,18,160
7,20210210,Food106,0,0,NA,106,18,160
8,20210210,Food106,0,0,NA,106,18,160
